Year,"Bus_patronage_total, annual","Bus_patronage_total, average daily",Data type
2009,92937754,254624,Actual
2010,97505660,267139,Actual
2011,100859137,276326,Actual
2012,118471907,324581,Actual
2013,120485929,330098,Estimation
2014,122534190,335710,Estimation
2015,124617271,341417,Estimation
2016,126735765,347221,Estimation
