"Sensor_Name","Date","sum(Hourly_Counts)"
"Flagstaff Station",2009-11-08,727
"Flagstaff Station",2009-11-09,25137
"Flagstaff Station",2009-11-10,24962
"Flagstaff Station",2009-11-11,25155
"Flagstaff Station",2009-11-12,26486
"Flagstaff Station",2009-11-13,23212
"Flagstaff Station",2009-11-14,1178
"Flagstaff Station",2009-11-15,892
"Flagstaff Station",2009-11-16,25170
"Flagstaff Station",2009-11-17,25969
"Flagstaff Station",2009-11-18,25732
"Flagstaff Station",2009-11-19,24496
"Flagstaff Station",2009-11-20,23545
"Flagstaff Station",2009-11-21,1193
"Flagstaff Station",2009-11-22,691
"Flagstaff Station",2009-11-23,25784
"Flagstaff Station",2009-11-24,25958
"Flagstaff Station",2009-11-25,25195
"Flagstaff Station",2009-11-26,27279
"Flagstaff Station",2009-11-27,23581
"Flagstaff Station",2009-11-28,1226
"Flagstaff Station",2009-11-29,824
"Flagstaff Station",2009-11-30,25760
"Flagstaff Station",2009-12-01,25649
"Flagstaff Station",2009-12-02,25832
"Flagstaff Station",2009-12-03,26069
"Flagstaff Station",2009-12-04,24455
"Flagstaff Station",2009-12-05,1109
"Flagstaff Station",2009-12-06,962
"Flagstaff Station",2009-12-07,25207
"Flagstaff Station",2009-12-08,30888
"Flagstaff Station",2009-12-09,26577
"Flagstaff Station",2009-12-10,25472
"Flagstaff Station",2009-12-11,25304
"Flagstaff Station",2009-12-12,1223
"Flagstaff Station",2009-12-13,833
"Flagstaff Station",2009-12-14,25817
"Flagstaff Station",2009-12-15,25906
"Flagstaff Station",2009-12-16,24285
"Flagstaff Station",2009-12-17,27014
"Flagstaff Station",2009-12-18,24071
"Flagstaff Station",2009-12-19,1223
"Flagstaff Station",2009-12-20,768
"Flagstaff Station",2009-12-21,21438
"Flagstaff Station",2009-12-22,21553
"Flagstaff Station",2009-12-23,18550
"Flagstaff Station",2009-12-24,13168
"Flagstaff Station",2009-12-25,504
"Flagstaff Station",2009-12-26,636
"Flagstaff Station",2009-12-27,733
"Flagstaff Station",2009-12-28,815
"Flagstaff Station",2009-12-29,8852
"Flagstaff Station",2009-12-30,8631
"Flagstaff Station",2009-12-31,7395
"Flagstaff Station",2010-01-01,749
"Flagstaff Station",2010-01-02,703
"Flagstaff Station",2010-01-03,667
"Flagstaff Station",2010-01-04,15518
"Flagstaff Station",2010-01-05,16174
"Flagstaff Station",2010-01-06,16665
"Flagstaff Station",2010-01-07,17119
"Flagstaff Station",2010-01-08,15601
"Flagstaff Station",2010-01-09,750
"Flagstaff Station",2010-01-10,629
"Flagstaff Station",2010-01-11,18249
"Flagstaff Station",2010-01-12,19319
"Flagstaff Station",2010-01-13,20461
"Flagstaff Station",2010-01-14,21111
"Flagstaff Station",2010-01-15,19899
"Flagstaff Station",2010-01-16,993
"Flagstaff Station",2010-01-17,694
"Flagstaff Station",2010-01-18,24054
"Flagstaff Station",2010-01-19,23455
"Flagstaff Station",2010-01-20,23033
"Flagstaff Station",2010-01-21,22950
"Flagstaff Station",2010-01-22,21427
"Flagstaff Station",2010-01-23,1035
"Flagstaff Station",2010-01-24,816
"Flagstaff Station",2010-01-25,17159
"Flagstaff Station",2010-01-26,893
"Flagstaff Station",2010-01-27,22220
"Flagstaff Station",2010-01-28,23743
"Flagstaff Station",2010-01-29,22595
"Flagstaff Station",2010-01-30,924
"Flagstaff Station",2010-01-31,643
"Flagstaff Station",2010-02-01,24984
"Flagstaff Station",2010-02-02,25490
"Flagstaff Station",2010-02-03,24982
"Flagstaff Station",2010-02-04,24841
"Flagstaff Station",2010-02-05,26084
"Flagstaff Station",2010-02-06,1060
"Flagstaff Station",2010-02-07,848
"Flagstaff Station",2010-02-08,25062
"Flagstaff Station",2010-02-09,24943
"Flagstaff Station",2010-02-10,25337
"Flagstaff Station",2010-02-11,27039
"Flagstaff Station",2010-02-12,23695
"Flagstaff Station",2010-02-13,1301
"Flagstaff Station",2010-02-14,1189
"Flagstaff Station",2010-02-15,25266
"Flagstaff Station",2010-02-16,26281
"Flagstaff Station",2010-02-17,25741
