"date","maxTemp","minTemp"
2009-08-07,14.6,11
2009-08-08,16.5,3.8
2009-08-09,14.6,6.6
2009-08-10,13.8,9
2009-08-11,16.2,9.5
2009-08-12,14.5,6
2009-08-13,18.5,9.3
2009-08-14,19.1,8.9
2009-08-15,19.3,10.5
2009-08-16,17.2,12.7
2009-08-17,17,9.7
2009-08-18,16.7,8.4
2009-08-19,18.6,9.8
2009-08-20,18.2,11.1
2009-08-21,18.8,11.1
2009-08-22,16.3,6.6
2009-08-23,19,9.2
2009-08-24,17.5,11.1
2009-08-25,14.8,7.1
2009-08-26,15.7,7.7
2009-08-27,18.8,8.5
2009-08-28,19.7,10.7
2009-08-29,15.5,12.3
2009-08-30,16,6.7
2009-08-31,16.6,9.1
2009-09-01,16,7.5
2009-09-02,19.7,8.6
2009-09-03,21.9,11.9
2009-09-04,17.3,9.8
2009-09-05,17.2,6.5
2009-09-06,16.7,8.1
2009-09-07,15.9,9.6
2009-09-08,15.3,10.2
2009-09-09,14.4,9.7
2009-09-10,14.8,10.5
2009-09-11,22.5,7.7
2009-09-12,29.9,13
2009-09-13,19.8,15.8
2009-09-14,17,6.7
2009-09-15,20.4,5.5
2009-09-16,22.9,8
2009-09-17,18.9,15.7
2009-09-18,18.5,10.6
2009-09-19,20.9,12.1
2009-09-20,18.7,10.4
2009-09-21,19.7,8.7
2009-09-22,18.9,10.6
2009-09-23,18.4,11.6
2009-09-24,20.8,11.6
2009-09-25,16.2,12.4
2009-09-26,14.2,7.8
2009-09-27,12.6,7.7
2009-09-28,14.7,8.5
2009-09-29,19.4,9.1
2009-09-30,23.6,12.1
2009-10-01,16.6,13.5
2009-10-02,14.7,11
2009-10-03,18,11
2009-10-04,18.7,9.6
2009-10-05,17.2,11.1
2009-10-06,15.7,9.2
2009-10-07,16.2,7.8
2009-10-08,16,8.9
2009-10-09,18.2,7.5
2009-10-10,20,5.9
2009-10-11,22.2,7
2009-10-12,22.6,11.8
2009-10-13,19.2,9.7
2009-10-14,16.4,9.6
2009-10-15,16.3,10.8
2009-10-16,18,7.6
2009-10-17,17.1,10.3
2009-10-18,16.5,8.1
2009-10-19,21.5,10.6
2009-10-20,28.5,13.6
2009-10-21,18.7,13.7
2009-10-22,18.8,10.1
2009-10-23,18.8,12.7
2009-10-24,19.6,8.2
2009-10-25,18.2,12
2009-10-26,21.2,9.5
2009-10-27,21.7,9.4
2009-10-28,21.1,12
2009-10-29,30.6,11.1
2009-10-30,26.5,16.7
2009-10-31,33.1,19.3
2009-11-01,20.1,15
2009-11-02,29.4,13.9
2009-11-03,21.9,14.8
2009-11-04,18.1,11.4
2009-11-05,19.3,12
2009-11-06,25.4,9.4
2009-11-07,32.2,13
