"","Sensor_Name","Date","sum.Hourly_Counts.","Bus","Tram","PedBusRatio","PedTramRatio"
"73","Flagstaff Station",2009-08-12,25435,254624,5e+05,0.0998923903481212,0.05087
"74","Flagstaff Station",2009-08-13,25540,254624,5e+05,0.100304763101671,0.05108
"75","Flagstaff Station",2009-08-14,23488,254624,5e+05,0.0922458212894307,0.046976
"76","Flagstaff Station",2009-08-15,1098,254624,5e+05,0.0043122407942692,0.002196
"77","Flagstaff Station",2009-08-16,662,254624,5e+05,0.00259991202714591,0.001324
"78","Flagstaff Station",2009-08-17,25002,254624,5e+05,0.0981918436596707,0.050004
"79","Flagstaff Station",2009-08-18,25642,254624,5e+05,0.100705353776549,0.051284
"80","Flagstaff Station",2009-08-19,25295,254624,5e+05,0.099342560010054,0.05059
"81","Flagstaff Station",2009-08-20,26776,254624,5e+05,0.105158979514893,0.053552
"82","Flagstaff Station",2009-08-21,22554,254624,5e+05,0.0885776674626115,0.045108
"83","Flagstaff Station",2009-08-22,1125,254624,5e+05,0.004418279502325,0.00225
"84","Flagstaff Station",2009-08-23,830,254624,5e+05,0.00325970843282644,0.00166
"85","Flagstaff Station",2009-08-24,26929,254624,5e+05,0.105759865527209,0.053858
"86","Flagstaff Station",2009-08-25,25638,254624,5e+05,0.100689644338318,0.051276
"87","Flagstaff Station",2009-08-26,25143,254624,5e+05,0.0987456013572955,0.050286
"88","Flagstaff Station",2009-08-27,25595,254624,5e+05,0.100520767877341,0.05119
"89","Flagstaff Station",2009-08-28,23759,254624,5e+05,0.0933101357295463,0.047518
"90","Flagstaff Station",2009-08-29,1030,254624,5e+05,0.00404518034435089,0.00206
"91","Flagstaff Station",2009-08-30,922,254624,5e+05,0.00362102551212769,0.001844
"92","Flagstaff Station",2009-08-31,26092,254624,5e+05,0.102472665577479,0.052184
"93","Flagstaff Station",2009-09-01,26010,254624,5e+05,0.102150622093754,0.05202
"94","Flagstaff Station",2009-09-02,25001,254624,5e+05,0.0981879163001131,0.050002
"95","Flagstaff Station",2009-09-03,25626,254624,5e+05,0.100642516023627,0.051252
"96","Flagstaff Station",2009-09-04,24602,254624,5e+05,0.0966208998366218,0.049204
"97","Flagstaff Station",2009-09-05,989,254624,5e+05,0.00388415860248838,0.001978
"98","Flagstaff Station",2009-09-06,613,254624,5e+05,0.00240747140882242,0.001226
"99","Flagstaff Station",2009-09-07,25271,254624,5e+05,0.0992483033806711,0.050542
"100","Flagstaff Station",2009-09-08,25785,254624,5e+05,0.101266966193289,0.05157
"101","Flagstaff Station",2009-09-09,25666,254624,5e+05,0.100799610405932,0.051332
"102","Flagstaff Station",2009-09-10,24934,254624,5e+05,0.0979247832097524,0.049868
"103","Flagstaff Station",2009-09-11,23181,254624,5e+05,0.0910401219052407,0.046362
"104","Flagstaff Station",2009-09-12,1097,254624,5e+05,0.00430831343471158,0.002194
"105","Flagstaff Station",2009-09-13,630,254624,5e+05,0.002474236521302,0.00126
"106","Flagstaff Station",2009-09-14,24642,254624,5e+05,0.0967779942189267,0.049284
"107","Flagstaff Station",2009-09-15,26177,254624,5e+05,0.102806491139877,0.052354
"108","Flagstaff Station",2009-09-16,24931,254624,5e+05,0.0979130011310795,0.049862
"109","Flagstaff Station",2009-09-17,26799,254624,5e+05,0.105249308784718,0.053598
"110","Flagstaff Station",2009-09-18,22690,254624,5e+05,0.0891117883624482,0.04538
"111","Flagstaff Station",2009-09-19,1041,254624,5e+05,0.00408838129948473,0.002082
"112","Flagstaff Station",2009-09-20,603,254624,5e+05,0.0023681978132462,0.001206
"113","Flagstaff Station",2009-09-21,23724,254624,5e+05,0.0931726781450295,0.047448
"114","Flagstaff Station",2009-09-22,23802,254624,5e+05,0.0934790121905241,0.047604
"115","Flagstaff Station",2009-09-23,23512,254624,5e+05,0.0923400779188136,0.047024
"116","Flagstaff Station",2009-09-24,23418,254624,5e+05,0.0919709061203971,0.046836
"117","Flagstaff Station",2009-09-25,22847,254624,5e+05,0.0897283838129948,0.045694
"118","Flagstaff Station",2009-09-26,916,254624,5e+05,0.00359746135478195,0.001832
"119","Flagstaff Station",2009-09-27,609,254624,5e+05,0.00239176197059193,0.001218
"120","Flagstaff Station",2009-09-28,22609,254624,5e+05,0.0887936722382808,0.045218
"121","Flagstaff Station",2009-09-29,23840,254624,5e+05,0.0936282518537137,0.04768
"122","Flagstaff Station",2009-09-30,23458,254624,5e+05,0.092128000502702,0.046916
"123","Flagstaff Station",2009-10-01,23202,254624,5e+05,0.0911225964559507,0.046404
"124","Flagstaff Station",2009-10-02,22183,254624,5e+05,0.0871206170667337,0.044366
"125","Flagstaff Station",2009-10-03,1021,254624,5e+05,0.00400983410833229,0.002042
"126","Flagstaff Station",2009-10-04,826,254624,5e+05,0.00324399899459595,0.001652
"127","Flagstaff Station",2009-10-05,24869,254624,5e+05,0.097669504838507,0.049738
"128","Flagstaff Station",2009-10-06,25358,254624,5e+05,0.0995899836621842,0.050716
"129","Flagstaff Station",2009-10-07,25179,254624,5e+05,0.0988869863013699,0.050358
"130","Flagstaff Station",2009-10-08,25370,254624,5e+05,0.0996371119768757,0.05074
"131","Flagstaff Station",2009-10-09,23525,254624,5e+05,0.0923911335930627,0.04705
"132","Flagstaff Station",2009-10-10,1207,254624,5e+05,0.00474032298605002,0.002414
